name,mapping,type,description,nullable,defaultValue,masking type
DynamicAttribute117,"TelcoIvrRefdataBillLanguageCode
TelcoSharedaccdimBothRefdataBillLanguageCodeSession",long,,TRUE,,none
DynamicAttribute118,"TelcoIvrRefdataChurnRiskScore
TelcoVoiceRefdataChurnRiskIndicatorSession",long,,TRUE,,none
DynamicAttribute119,"TelcoIvrRefdataCreditClass
TelcoSharedaccdimBothRefdataCreditClassSession",long,,TRUE,,none
DynamicAttribute120,TelcoIvrRefdataDebtAge,long,,TRUE,,none
DynamicAttribute121,TelcoIvrRefdataExternalSourceCallReason,long,,TRUE,,none
DynamicAttribute122,TelcoIvrRefdataIvrSocCodePricePlan,long,,TRUE,,none
DynamicAttribute123,TelcoIvrRefdataMarketId,long,,TRUE,,none
DynamicAttribute124,TelcoIvrRefdataStatusChangeReasonCode,long,,TRUE,,none
DynamicAttribute125,TelcoIvrRefdataSubmarket,long,,TRUE,,none
DynamicAttribute126,TelcoIvrRefdataSwapModelNumber,long,,TRUE,,none
DynamicAttribute127,TelcoSharedtq22BothRefdataDroppedCallCountBinSession,long,,TRUE,,none
DynamicAttribute128,TelcoSharedtq22BothRefdataDroppedCallsMouBinSession,long,,TRUE,,none
DynamicAttribute129,TelcoSharedtq22BothRefdataEnhanced3gSessionCountBinSession,long,,TRUE,,none
DynamicAttribute130,TelcoSharedtq22BothRefdataFailCallPercentageBinSession,long,,TRUE,,none
DynamicAttribute131,TelcoSharedtq22BothRefdataLteSessionCountBinSession,long,,TRUE,,none
DynamicAttribute132,TelcoSharedtq22BothRefdataRoamingCallCountBinSession,long,,TRUE,,none
DynamicAttribute133,TelcoSharedtq22BothRefdataRoamingCallsMouBinSession,long,,TRUE,,none
DynamicAttribute134,TelcoSharedtq22BothRefdataSuccessfulCallCountBinSession,long,,TRUE,,none
DynamicAttribute135,TelcoSharedtq22BothRefdataSuccessfulCallMouBinSession,long,,TRUE,,none
DynamicAttribute136,TelcoSharedtq22BothRefdataTextMessageCountBinSession,long,,TRUE,,none
DynamicAttribute137,TelcoIvrRefdataLastCollectionActivityCode,long,,TRUE,,none
DynamicAttribute138,TelcoSharedtq22BothRefdataTextMessageFailedCountBinSession,long,,TRUE,,none
DynamicAttribute139,TelcoSharedtq22BothRefdataTotalBlocksAndDropsBinSession,long,,TRUE,,none
DynamicAttribute140,"IVR_fromVoice_RefData_CSR_Tenure_Bin
TelcoVoiceRefdataCsrTenureBin",long,,TRUE,,none
DynamicAttribute141,IVR_fromVoice_RefData_Handle_Time_Bin,long,,TRUE,,none
DynamicAttribute142,Not in use,long,,TRUE,,none
DynamicAttribute143,IVR_fromVoice_RefData_Peripheral_CallType,long,,TRUE,,none
DynamicAttribute144,IVR_fromVoice_RefData_Peripheral_ID,long,,TRUE,,none
DynamicAttribute145,IVR_fromVoice_RefData_Talk_Time_Bin,long,,TRUE,,none
DynamicAttribute146,"IVR_fromVoice_RefData_Unit_Manager
TelcoVoiceRefdataUnitManager",long,,TRUE,,none
DynamicAttribute147,Not in use,long,,TRUE,,none
DynamicAttribute148,TelcoChurnRefdataPortOutDateSession,long,,TRUE,,none
DynamicAttribute149,TelcoSharedtle0BothRefdataDeviceManufacturerSession,long,,TRUE,,none
DynamicAttribute150,IVR_fromVoice_Duration,long,,TRUE,,none
DynamicAttribute151,IVR_fromVoice_RefData_Call_Type_ID,long,,TRUE,,none
DynamicAttribute152,TelcoSharedtle0BothRefdataDeviceMarketLaunchDateSession,long,,TRUE,,none
DynamicAttribute153,TelcoSharedtle0BothRefdataDeviceOperatingSystemSession,long,,TRUE,,none
DynamicAttribute154,TelcoSharedtle0BothRefdataDeviceQualitySession,long,,TRUE,,none
DynamicAttribute155,TelcoSharedaccdimBothRefdataOwnerBrandCodeSession,long,,TRUE,,none
DynamicAttribute156,TelcoSharedaccdimBothRefdataSubscribersActiveBinSession,long,,TRUE,,none
DynamicAttribute157,TelcoSharedihdetailBothRefdataChannelDepartmentNameSession,long,,TRUE,,none
DynamicAttribute158,"SharedSurvey_RefData_Dealer_ID
TelcoSurveyRefdataDealerIdSession",long,,TRUE,,none
DynamicAttribute159,Not in use,long,,TRUE,,none
DynamicAttribute160,"SharedSurvey_RefData_Dealer_Name
TelcoSurveyRefdataDealerNameSession",long,,TRUE,,none
DynamicAttribute161,"SharedSurvey_RefData_Store_ID
TelcoSurveyRefdataStoreIdSession",long,,TRUE,,none
DynamicAttribute162,"SharedSurvey_RefData_Store_Number
TelcoSurveyRefdataStoreNumberSession",long,,TRUE,,none
DynamicAttribute163,"TelcoIvrRefdataItemDescription
TelcoSharedsubdimBothRefdataSkuIdSession",long,,TRUE,,none
DynamicAttribute164,"SharedSurvey_RefData_Survey_Category_1
TelcoSurveyRefdataSurveyCategory1Session",long,,TRUE,,none
DynamicAttribute165,"SharedSurvey_RefData_Survey_Category_2
TelcoSurveyRefdataSurveyCategory2Session",long,,TRUE,,none
DynamicAttribute166,"SharedSurvey_RefData_Survey_Rotating_Question_Code
TelcoSurveyRefdataSurveyRotatingQuestionCodeSession",long,,TRUE,,none
DynamicAttribute167,IVR_fromVoice_Hold_Time,int,,TRUE,,none
DynamicAttribute168,Not in use,int,,TRUE,,none
DynamicAttribute169,"SharedSurvey_RefData_Survey_Rotating_Question_Score
TelcoSurveyRefdataSurveyRotatingQuestionScoreSession",long,,TRUE,,none
DynamicAttribute170,"TelcoIvrRefdataPricePlanCode
TelcoSharedsubdimBothRefdataPlanTypeSession",long,,TRUE,,none
DynamicAttribute171,TelcoIvrRefdataConsolidatedCdc,long,,TRUE,,none
DynamicAttribute172,"TelcoIvrRefdataHourOfDayCstSession
TelcoVoiceRefdataHourOfDayCstSession",long,,TRUE,,none
DynamicAttribute173,TelcoSharedtmubBothRefdataQosYearMonthNumberSession,long,,TRUE,,none
DynamicAttribute174,"SharedSurvey_RefData_Survey_WTR_Likely
TelcoSurveyRefdataSurveyWtrLikelySession",long,,TRUE,,none
DynamicAttribute175,"SharedSurvey_RefData_SPS_Score
TelcoSurveyRefdataSurveySpsScoreSession",long,,TRUE,,none
DynamicAttribute176,IVR_fromVoice_Local_Queue_Time,int,,TRUE,,none
DynamicAttribute177,IVR_fromVoice_RefData_Base_Skill_Target_ID,long,,TRUE,,none
DynamicAttribute178,TelcoIvrRefdataLastSelfService,long,,TRUE,,none
DynamicAttribute179,TelcoIvrRefdataLastAccountMenuOption,long,,TRUE,,none
DynamicAttribute180,TelcoSharedtle1BothRefdataMarketAreaNameSession,long,,TRUE,,none
DynamicAttribute181,TelcoSharedtle1BothRefdataMarketGeographyAreaCodeSession,long,,TRUE,,none
DynamicAttribute182,TelcoSharedtle1BothRefdataMarketNameSession,long,,TRUE,,none
DynamicAttribute183,TelcoSharedtle1BothRefdataMarketRegionSession,long,,TRUE,,none
DynamicAttribute184,"IVR_fromVoice_RefData_Call_Functional_Area
TelcoVoiceRefdataCallFunctionalArea",long,,TRUE,,none
DynamicAttribute185,IVR_fromVoice_RefData_App_Split,long,,TRUE,,none
DynamicAttribute186,SharedSession_Calculated_Any2Any_Next_Contact_Reason_List,long,,TRUE,,none
DynamicAttribute187,SharedSession_Calculated_Any2Any_Previous_Contact_Reason_List,long,,TRUE,,none
DynamicAttribute188,IVR_fromVoice_RefData_Service_Skill_Target,long,,TRUE,,none
DynamicAttribute189,"IVR_fromVoice_RefData_CSR_Functional_Area
TelcoVoiceRefdataCsrFunctionalArea",long,,TRUE,,none
